description,sample_title,collection_date,env_biome,env_feature,geo_loc_name,lat_lon,env_material,organism,Depth,Conductivity,Timepoint,Reactor cycle,Reactor phase,temp,ph,Diversity - D2,Diversity - D1,Diversity - D0,FCM_ID,Cell.density (cells/mL),Cell.density.sd (cells/mL)
Cooling water,42,26-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.33,-0.58,2,Control,23.95,4.85,9.698690454,17.66950125,89,CYCLUS2_BEKKEN_-1_B_PRECYCLE,918320,15531.59361
Cooling water,43,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.97,0.00,2,Startup,19.72,4.82,10.51564311,19.76885904,88,CYCLUS2_BEKKEN_0_0h_START,877973.3333,12215.42195
Cooling water,44,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.12,0.08,2,Startup,23.74,4.68,13.10027909,26.65288734,112,CYCLUS2_BEKKEN_0_2h_START,832360,12459.40609
Cooling water,45,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.58,0.17,2,Startup,26.96,4.63,6.119352664,15.70845577,93,CYCLUS2_BEKKEN_0_4h_START,748733.3333,15750.52168
Cooling water,46,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.08,0.25,2,Startup,25.02,4.53,4.260963471,10.66438033,72,CYCLUS2_BEKKEN_0_6h_START,859053.3333,5233.940517
Cooling water,47,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.55,0.33,2,Startup,25.24,4.47,5.082818673,14.33008249,99,CYCLUS2_BEKKEN_0_8h_START,1001906.667,36571.51533
Cooling water,48,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.65,0.42,2,Startup,25.32,4.46,5.44016913,9.322079288,57,CYCLUS2_BEKKEN_0_10h_START,1133386.667,11046.54395
Cooling water,49,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.58,0.50,2,Startup,25.68,4.46,2.231374478,3.971936103,39,CYCLUS2_BEKKEN_0_12h_START,1191080,3862.641583
Cooling water,50,27-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.47,0.58,2,Startup,26.66,4.47,1.939450671,3.269534878,37,CYCLUS2_BEKKEN_0_14h_START,1323826.667,16837.78291
Cooling water,51,28-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.40,1.00,2,Operation,26.90,4.49,2.616409815,4.280684297,46,CYCLUS2_BEKKEN_1_A_OPERATION,1627280,36807.15148
Cooling water,52,28-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.09,1.42,2,Operation,25.79,4.52,2.586698337,4.07894322,34,CYCLUS2_BEKKEN_1_C_OPERATION,1783000,39467.19144
Cooling water,53,29-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.52,2.42,2,Operation,24.44,4.58,3.726736132,5.364733856,40,CYCLUS2_BEKKEN_2_B_OPERATION,1837120,32252.57819
Cooling water,54,30-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.08,3.42,2,Operation,24.79,4.63,3.808310159,5.397058668,32,CYCLUS2_BEKKEN_3_B_OPERATION,1817586.667,29835.77271
Cooling water,55,31-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.15,4.00,2,Operation,26.11,4.61,3.261650893,4.658264775,26,CYCLUS2_BEKKEN_4_A_OPERATION,1691440,23725.73287
Cooling water,56,31-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.20,4.42,2,Operation,26.71,4.60,3.690044403,5.310539213,32,CYCLUS2_BEKKEN_4_B_OPERATION,1656080,29242.95471
Cooling water,57,01-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.12,5.00,2,Operation,29.10,4.60,2.622418038,4.054885155,29,CYCLUS2_BEKKEN_5_A_OPERATION,1490333.333,19206.42948
Cooling water,58,02-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.15,6.00,2,Operation,27.37,4.60,3.075256526,5.030459848,33,CYCLUS2_BEKKEN_6_A_OPERATION,1044840,29357.13883
Cooling water,59,03-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,2.93,7.00,2,Operation,28.45,4.64,3.767665473,6.584360931,48,CYCLUS2_BEKKEN_7_A_OPERATION,837426.6667,19808.45611
Cooling water,60,05-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.56,9.00,2,Operation,26.57,4.52,1.778644506,3.415800195,40,CYCLUS2_BEKKEN_9_A_OPERATION,868266.6667,29215.34756
Cooling water,61,07-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.03,11.42,2,Operation,27.34,4.42,1.451321942,2.339351264,29,CYCLUS2_BEKKEN_11_A_OPERATION,1046240,25892.85616
Cooling water,62,08-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.91,12.42,2,Operation,25.05,4.50,1.548546727,2.716220244,34,CYCLUS2_BEKKEN_12_A_OPERATION,883573.3333,23365.76413
Cooling water,63,10-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.72,14.42,2,Operation,25.78,4.50,1.211328693,1.700199848,25,CYCLUS2_BEKKEN_14_A_OPERATION,744026.6667,10167.58247
Cooling water,64,12-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.14,16.00,2,Operation,29.24,4.42,1.147163966,1.519136761,24,CYCLUS2_BEKKEN_16_A_OPERATION,822586.6667,13288.27052
Cooling water,65,12-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.22,16.42,2,Operation,26.70,4.41,1.156253238,1.55859657,24,CYCLUS2_BEKKEN_16_B_OPERATION,1019226.667,5420.307494
Cooling water,66,13-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.11,17.42,2,Operation,27.21,4.42,1.196095522,1.698362319,29,CYCLUS2_BEKKEN_17_B_OPERATION,1142493.333,8127.123312
Cooling water,67,15-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.76,19.00,2,Operation,27.52,4.46,1.138639204,1.505733986,22,CYCLUS2_BEKKEN_19_A_OPERATION,987346.6667,10742.83637
Cooling water,68,16-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.44,20.42,2,Operation,28.08,4.27,1.150561482,1.587651823,33,CYCLUS2_BEKKEN_20_B_OPERATION,981013.3333,9000.74071
Cooling water,69,18-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.71,22.00,2,Operation,27.68,4.35,1.234279652,1.803651142,28,CYCLUS2_BEKKEN_22_A_OPERATION,737266.6667,5707.865918
Cooling water,70,19-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.85,23.00,2,Operation,28.73,4.33,1.121243371,1.446519271,23,CYCLUS2_BEKKEN_23_A_OPERATION,857000,5265.434455
Cooling water,71,20-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.16,24.42,2,Operation,25.37,4.39,1.30385683,2.145311514,39,CYCLUS2_BEKKEN_24_B_OPERATION,739040,12361.42387
Cooling water,72,22-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.22,26.00,2,Operation,26.75,4.52,1.446848448,2.506833531,40,CYCLUS2_BEKKEN_26_A_OPERATION,638133.3333,16023.49941
Cooling water,73,23-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,2.77,27.42,2,Shutdown,26.30,4.65,1.477605525,2.479917998,36,CYCLUS2_BEKKEN_27_B_OPERATION,710000,20665.21715
Cooling water,74,24-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,2.36,28.48,2,Shutdown,16.88,4.68,1.914422333,4.30277962,58,CYCLUS2_BEKKEN_28_10h_SHUTDOWN,856640,2813.680863
Cooling water,75,25-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.95,29.42,2,Shutdown,17.91,4.71,2.126096043,4.430818625,54,CYCLUS2_BEKKEN_29_B_POSTCYCLE,866000,4206.471205
Cooling water,76,26-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.75,30.42,2,Shutdown,17.71,4.72,1.835880076,3.838724706,50,CYCLUS2_BEKKEN_30_B_POSTCYCLE,917826.6667,14126.81611
Cooling water,77,27-Feb-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.67,31.00,2,Shutdown,15.48,4.73,1.957163109,4.297783977,53,CYCLUS2_BEKKEN_31_A_POSTCYCLE,915506.6667,13301.44854
Cooling water,87,02-Mar-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.36,34.42,2,Shutdown,15.05,4.80,1.736283836,3.541448586,47,CYCLUS2_BEKKEN_34_B_POSTCYCLE,935960,15279.6335
Cooling water,78,03-Mar-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.36,35.00,2,Shutdown,14.89,4.79,1.86344459,3.686088037,38,CYCLUS2_BEKKEN_35_A_POSTCYCLE,918880,9066.509803
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
